Tank Name,Statistic,Value,nation
vz-55,Gun depression (°),8,Czech Republic
vz-55,Gun traverse (°/sec),26.25,Czech Republic
vz-55,Gun traverse range (°),-180 / 180,Czech Republic
vz-55,Turret traverse (°/sec),26.07,Czech Republic
vz-55,Hull armor (mm),115 / 90 / 85,Czech Republic
vz-55,Turret armor (mm),300 / 150 / 90,Czech Republic
vz-55,Track armor (mm),20,Czech Republic
vz-55,Health,"2,100",Czech Republic
vz-55,Engine health,360,Czech Republic
vz-55,Track health,250,Czech Republic
vz-55,… repaired,80,Czech Republic
vz-55,… repair time (sec),12.03,Czech Republic
vz-55,Ammo rack health,210,Czech Republic
vz-55,Fuel tank health,200,Czech Republic
vz-55,Max load (kg),"57,000",Czech Republic
vz-55,Total weight (kg),"55,000",Czech Republic
vz-55,Stationary camo (%),6.50 / 1.05,Czech Republic
vz-55,Moving camo (%),3.25 / 0.53,Czech Republic
vz-55,View range (m),390,Czech Republic
vz-55,Radio range (m),850,Czech Republic
vz-55,Fire chance,10%,Czech Republic
vz-55,Tank cost,"6,100,000",Czech Republic
tvp-t-5051,DPM,"2,697.64",Czech Republic
tvp-t-5051,Damage,320,Czech Republic
tvp-t-5051,Penetration (mm),248,Czech Republic
tvp-t-5051,… at 500m (mm),225,Czech Republic
tvp-t-5051,Reload time (sec),23.97,Czech Republic
tvp-t-5051,Rate of fire (rnds/min),8.43,Czech Republic
tvp-t-5051,Clip size,4,Czech Republic
tvp-t-5051,Clip damage,"1,280 / 4.5s",Czech Republic
tvp-t-5051,Intra-clip reload,1.50,Czech Republic
tvp-t-5051,Aim time (sec),2.01,Czech Republic
tvp-t-5051,Dispersion,0.34,Czech Republic
tvp-t-5051,… damaged,0.67,Czech Republic
tvp-t-5051,Dispersion factors,,Czech Republic
tvp-t-5051,… moving (+),0.18,Czech Republic
tvp-t-5051,… tank traverse (+),0.18,Czech Republic
tvp-t-5051,… turret traverse (+),0.10,Czech Republic
tvp-t-5051,… after firing (+),3,Czech Republic
tvp-t-5051,… damaged (×),2,Czech Republic
tvp-t-5051,Damage vs. modules,135,Czech Republic
tvp-t-5051,Caliber (mm),100,Czech Republic
tvp-t-5051,Shell velocity (m/s),"1,400",Czech Republic
tvp-t-5051,Max range (m),720,Czech Republic
tvp-t-5051,Ammo capacity,48,Czech Republic
tvp-t-5051,Potential damage,"15,360",Czech Republic
tvp-t-5051,Shell cost,"1,110",Czech Republic
tvp-t-5051,Top speed (km/h),60,Czech Republic
tvp-t-5051,Reverse speed (km/h),20,Czech Republic
tvp-t-5051,Power (hp),"1,057.28 1,000",Czech Republic
tvp-t-5051,Power/weight (hp/t),26.43,Czech Republic
tvp-t-5051,Tank traverse (°/sec),56.32,Czech Republic
tvp-t-5051,Effective top speed,,Czech Republic
tvp-t-5051,… hard (km/h),60,Czech Republic
tvp-t-5051,… medium (km/h),60,Czech Republic
tvp-t-5051,… soft (km/h),55.89,Czech Republic
tvp-t-5051,Effective traverse,,Czech Republic
tvp-t-5051,… hard (°/sec),53.51,Czech Republic
tvp-t-5051,… medium (°/sec),38.91,Czech Republic
tvp-t-5051,… soft (°/sec),23.78,Czech Republic
tvp-t-5051,Terrain resistance,,Czech Republic
tvp-t-5051,… hard (rad⁻¹),0.77,Czech Republic
tvp-t-5051,… medium (rad⁻¹),1.05,Czech Republic
tvp-t-5051,… soft (rad⁻¹),1.73,Czech Republic
tvp-t-5051,Gun elevation (°),20,Czech Republic
tvp-t-5051,Gun depression (°),8,Czech Republic
tvp-t-5051,Gun traverse (°/sec),33,Czech Republic
tvp-t-5051,Gun traverse range (°),-180 / 180,Czech Republic
tvp-t-5051,Turret traverse (°/sec),37.55,Czech Republic
tvp-t-5051,Hull armor (mm),65 / 40 / 30,Czech Republic
tvp-t-5051,Turret armor (mm),120 / 80 / 60,Czech Republic
tvp-t-5051,Track armor (mm),20,Czech Republic
tvp-t-5051,Health,"1,800",Czech Republic
tvp-t-5051,Engine health,360,Czech Republic
tvp-t-5051,Track health,250,Czech Republic
tvp-t-5051,… repaired,80,Czech Republic
tvp-t-5051,… repair time (sec),12.03,Czech Republic
tvp-t-5051,Ammo rack health,260,Czech Republic
tvp-t-5051,Fuel tank health,200,Czech Republic
tvp-t-5051,Max load (kg),"43,000",Czech Republic
tvp-t-5051,Total weight (kg),"40,000",Czech Republic
tvp-t-5051,Stationary camo (%),13.39 / 2.80,Czech Republic
tvp-t-5051,Moving camo (%),10.03 / 2.10,Czech Republic
tvp-t-5051,View range (m),410,Czech Republic
tvp-t-5051,Radio range (m),850,Czech Republic
tvp-t-5051,Fire chance,10%,Czech Republic
tvp-t-5051,Tank cost,"6,100,000",Czech Republic
skoda-t-40,DPM,"1,995.30",Czech Republic
skoda-t-40,Damage,220,Czech Republic
skoda-t-40,Penetration (mm),145,Czech Republic
skoda-t-40,… at 500m (mm),129,Czech Republic
skoda-t-40,Reload time (sec),6.62,Czech Republic
skoda-t-40,Rate of fire (rnds/min),9.07,Czech Republic
skoda-t-40,Aim time (sec),2.21,Czech Republic
skoda-t-40,Dispersion,0.35,Czech Republic
skoda-t-40,… damaged,0.71,Czech Republic
skoda-t-40,Dispersion factors,,Czech Republic
skoda-t-40,… moving (+),0.24,Czech Republic
skoda-t-40,… tank traverse (+),0.24,Czech Republic
skoda-t-40,… turret traverse (+),0.16,Czech Republic
skoda-t-40,… after firing (+),4,Czech Republic
skoda-t-40,… damaged (×),2,Czech Republic
skoda-t-40,Damage vs. modules,119,Czech Republic
skoda-t-40,Caliber (mm),88,Czech Republic
skoda-t-40,Shell velocity (m/s),773,Czech Republic
skoda-t-40,Max range (m),720,Czech Republic
skoda-t-40,Ammo capacity,80,Czech Republic
skoda-t-40,Potential damage,"17,600",Czech Republic
skoda-t-40,Shell cost,200,Czech Republic
skoda-t-40,Top speed (km/h),50,Czech Republic
skoda-t-40,Reverse speed (km/h),20,Czech Republic
skoda-t-40,Power (hp),740.10 700,Czech Republic
skoda-t-40,Power/weight (hp/t),18.53,Czech Republic
skoda-t-40,Tank traverse (°/sec),39.63,Czech Republic
skoda-t-40,Effective top speed,,Czech Republic
skoda-t-40,… hard (km/h),50,Czech Republic
skoda-t-40,… medium (km/h),50,Czech Republic
skoda-t-40,… soft (km/h),35.25,Czech Republic
skoda-t-40,Effective traverse,,Czech Republic
skoda-t-40,… hard (°/sec),37.65,Czech Republic
skoda-t-40,… medium (°/sec),33.47,Czech Republic
skoda-t-40,… soft (°/sec),15.06,Czech Republic
skoda-t-40,Terrain resistance,,Czech Republic
skoda-t-40,… hard (rad⁻¹),0.77,Czech Republic
skoda-t-40,… medium (rad⁻¹),0.86,Czech Republic
skoda-t-40,… soft (rad⁻¹),1.92,Czech Republic
skoda-t-40,Gun elevation (°),20,Czech Republic
skoda-t-40,Gun depression (°),6,Czech Republic
skoda-t-40,Gun traverse (°/sec),35,Czech Republic
skoda-t-40,Gun traverse range (°),-180 / 180,Czech Republic
skoda-t-40,Turret traverse (°/sec),33.38,Czech Republic
skoda-t-40,Hull armor (mm),65 / 40 / 30,Czech Republic
skoda-t-40,Turret armor (mm),65 / 40 / 40,Czech Republic
skoda-t-40,Track armor (mm),20,Czech Republic
skoda-t-40,Health,780,Czech Republic
skoda-t-40,Engine health,255,Czech Republic
skoda-t-40,Track health,140,Czech Republic
skoda-t-40,… repaired,60,Czech Republic
skoda-t-40,… repair time (sec),12.03,Czech Republic
skoda-t-40,Ammo rack health,160,Czech Republic
skoda-t-40,Fuel tank health,150,Czech Republic
skoda-t-40,Max load (kg),"41,500",Czech Republic
skoda-t-40,Total weight (kg),"39,950",Czech Republic
skoda-t-40,Stationary camo (%),13.05 / 3.26,Czech Republic
skoda-t-40,Moving camo (%),9.80 / 2.45,Czech Republic
skoda-t-40,View range (m),370,Czech Republic
skoda-t-40,Radio range (m),740.53,Czech Republic
skoda-t-40,Fire chance,15%,Czech Republic
skoda-t-40,Tank cost,"3,300",Czech Republic
skoda-t-27,DPM,"1,623.85",Czech Republic
skoda-t-27,Damage,240,Czech Republic
skoda-t-27,Penetration (mm),202,Czech Republic
skoda-t-27,… at 500m (mm),182,Czech Republic
skoda-t-27,Reload time (sec),23.01,Czech Republic
skoda-t-27,Rate of fire (rnds/min),6.77,Czech Republic
skoda-t-27,Clip size,3,Czech Republic
skoda-t-27,Clip damage,720 / 3.59s,Czech Republic
skoda-t-27,Intra-clip reload,1.80,Czech Republic
skoda-t-27,Aim time (sec),2.11,Czech Republic
skoda-t-27,Dispersion,0.36,Czech Republic
skoda-t-27,… damaged,0.73,Czech Republic
skoda-t-27,Dispersion factors,,Czech Republic
skoda-t-27,… moving (+),0.20,Czech Republic
skoda-t-27,… tank traverse (+),0.20,Czech Republic
skoda-t-27,… turret traverse (+),0.12,Czech Republic
skoda-t-27,… after firing (+),3,Czech Republic
skoda-t-27,… damaged (×),2,Czech Republic
skoda-t-27,Damage vs. modules,119,Czech Republic
skoda-t-27,Caliber (mm),88,Czech Republic
skoda-t-27,Shell velocity (m/s),"1,050",Czech Republic
skoda-t-27,Max range (m),720,Czech Republic
skoda-t-27,Ammo capacity,54,Czech Republic
skoda-t-27,Potential damage,"12,960",Czech Republic
skoda-t-27,Shell cost,340,Czech Republic
skoda-t-27,Top speed (km/h),50,Czech Republic
skoda-t-27,Reverse speed (km/h),20,Czech Republic
skoda-t-27,Power (hp),900,Czech Republic
skoda-t-27,Power/weight (hp/t),22.50,Czech Republic
skoda-t-27,Tank traverse (°/sec),45.89,Czech Republic
skoda-t-27,Effective top speed,,Czech Republic
skoda-t-27,… hard (km/h),50,Czech Republic
skoda-t-27,… medium (km/h),50,Czech Republic
skoda-t-27,… soft (km/h),45.07,Czech Republic
skoda-t-27,Effective traverse,,Czech Republic
skoda-t-27,… hard (°/sec),43.60,Czech Republic
skoda-t-27,… medium (°/sec),33.54,Czech Republic
skoda-t-27,… soft (°/sec),22.95,Czech Republic
skoda-t-27,Terrain resistance,,Czech Republic
skoda-t-27,… hard (rad⁻¹),0.96,Czech Republic
skoda-t-27,… medium (rad⁻¹),1.25,Czech Republic
skoda-t-27,… soft (rad⁻¹),1.82,Czech Republic
skoda-t-27,Gun elevation (°),20,Czech Republic
skoda-t-27,Gun depression (°),8,Czech Republic
skoda-t-27,Gun traverse (°/sec),30,Czech Republic
skoda-t-27,Gun traverse range (°),-180 / 180,Czech Republic
skoda-t-27,Turret traverse (°/sec),41.72,Czech Republic
skoda-t-27,Hull armor (mm),65 / 40 / 40,Czech Republic
skoda-t-27,Turret armor (mm),100 / 100 / 100,Czech Republic
skoda-t-27,Track armor (mm),20,Czech Republic
skoda-t-27,Health,"1,350",Czech Republic
skoda-t-27,Engine health,320,Czech Republic
skoda-t-27,Track health,200,Czech Republic
skoda-t-27,… repaired,70,Czech Republic
skoda-t-27,… repair time (sec),10.03,Czech Republic
skoda-t-27,Ammo rack health,220,Czech Republic
skoda-t-27,Fuel tank health,175,Czech Republic
skoda-t-27,Max load (kg),"43,000",Czech Republic
skoda-t-27,Total weight (kg),"40,000",Czech Republic
skoda-t-27,Stationary camo (%),13.11 / 3.12,Czech Republic
skoda-t-27,Moving camo (%),9.80 / 2.33,Czech Republic
skoda-t-27,View range (m),380,Czech Republic
skoda-t-27,Radio range (m),850,Czech Republic
skoda-t-27,Fire chance,12%,Czech Republic
skoda-t-27,Tank cost,"8,700",Czech Republic
ft,DPM,939.13,France
ft,Damage,8,France
ft,Penetration (mm),23,France
ft,… at 400m (mm),17.75,France
ft,Reload time (sec),5.80,France
ft,Rate of fire (rnds/min),117.39,France
ft,Clip size,15,France
ft,… burst size,5,France
ft,Clip damage,120 / 1.87s,France
ft,… burst damage,40 / 0.53s,France
ft,Intra-clip reload,0.13,France
ft,Aim time (sec),2,France
ft,Dispersion,0.58,France
ft,… damaged,1.16,France
ft,Dispersion factors,,France
ft,… moving (+),0.38,France
ft,… tank traverse (+),0.38,France
ft,… turret traverse (+),0.10,France
ft,… after firing (+),1.20,France
ft,… damaged (×),2,France
ft,Damage vs. modules,18,France
ft,Caliber (mm),13.20,France
ft,Shell velocity (m/s),800,France
ft,Max range (m),400,France
ft,Ammo capacity,1665,France
ft,Potential damage,"13,320",France
ft,Shell cost,1,France
ft,Top speed (km/h),21,France
ft,Reverse speed (km/h),8,France
ft,Power (hp),41.23 39,France
ft,Power/weight (hp/t),8.62,France
ft,Tank traverse (°/sec),62.58,France
ft,Effective top speed,,France
ft,… hard (km/h),21,France
ft,… medium (km/h),21,France
ft,… soft (km/h),18.22,France
ft,Effective traverse,,France
ft,… hard (°/sec),62.97,France
ft,… medium (°/sec),55.98,France
ft,… soft (°/sec),27.99,France
ft,Terrain resistance,,France
ft,… hard (rad⁻¹),0.77,France
ft,… medium (rad⁻¹),0.86,France
ft,… soft (rad⁻¹),1.73,France
ft,Gun elevation (°),35,France
ft,Gun depression (°),10,France
ft,Gun traverse (°/sec),43.75,France
ft,Gun traverse range (°),-180 / 180,France
ft,Turret traverse (°/sec),34,France
ft,Hull armor (mm),16 / 16 / 16,France
ft,Turret armor (mm),22 / 22 / 16,France
ft,Track armor (mm),5,France
ft,Health,245,France
ft,Engine health,25,France
ft,Track health,50,France
ft,… repaired,40,France
ft,… repair time (sec),6,France
ft,Ammo rack health,65,France
ft,Fuel tank health,100,France
ft,Max load (kg),"6,800",France
ft,Total weight (kg),"4,786",France
ft,Stationary camo (%),13.57 / 3.23,France
ft,Moving camo (%),10.20 / 2.43,France
ft,View range (m),280,France
ft,Radio range (m),300,France
ft,Fire chance,20%,France
ft,Tank cost,0,France
fcm-36,DPM,857.14,France
fcm-36,Damage,40,France
fcm-36,Penetration (mm),34,France
fcm-36,… at 500m (mm),27,France
fcm-36,Reload time (sec),2.80,France
fcm-36,Rate of fire (rnds/min),21.43,France
fcm-36,Aim time (sec),2,France
fcm-36,Dispersion,0.48,France
fcm-36,… damaged,0.96,France
fcm-36,Dispersion factors,,France
fcm-36,… moving (+),0.30,France
fcm-36,… tank traverse (+),0.30,France
fcm-36,… turret traverse (+),0.16,France
fcm-36,… after firing (+),4,France
fcm-36,… damaged (×),2,France
fcm-36,Damage vs. modules,50,France
fcm-36,Caliber (mm),37,France
fcm-36,Shell velocity (m/s),705,France
fcm-36,Max range (m),720,France
fcm-36,Ammo capacity,205,France
fcm-36,Potential damage,"8,200",France
fcm-36,Shell cost,14,France
fcm-36,Top speed (km/h),24,France
fcm-36,Reverse speed (km/h),12,France
fcm-36,Power (hp),111.01 105,France
fcm-36,Power/weight (hp/t),9,France
fcm-36,Tank traverse (°/sec),35.46,France
fcm-36,Effective top speed,,France
fcm-36,… hard (km/h),24,France
fcm-36,… medium (km/h),24,France
fcm-36,… soft (km/h),14.28,France
fcm-36,Effective traverse,,France
fcm-36,… hard (°/sec),41.02,France
fcm-36,… medium (°/sec),34.71,France
fcm-36,… soft (°/sec),18.80,France
fcm-36,Terrain resistance,,France
fcm-36,… hard (rad⁻¹),1.05,France
fcm-36,… medium (rad⁻¹),1.25,France
fcm-36,… soft (rad⁻¹),2.30,France
fcm-36,Gun elevation (°),10,France
fcm-36,Gun depression (°),17,France
fcm-36,Gun traverse (°/sec),43.75,France
fcm-36,Gun traverse range (°),-180 / 180,France
fcm-36,Turret traverse (°/sec),24,France
fcm-36,Hull armor (mm),40 / 20 / 20,France
fcm-36,Turret armor (mm),40 / 40 / 40,France
fcm-36,Track armor (mm),10,France
fcm-36,Health,280,France
fcm-36,Engine health,44,France
fcm-36,Track health,70,France
fcm-36,… repaired,40,France
fcm-36,… repair time (sec),12.03,France
fcm-36,Ammo rack health,80,France
fcm-36,Fuel tank health,100,France
fcm-36,Max load (kg),"14,250",France
fcm-36,Total weight (kg),"12,329",France
fcm-36,Stationary camo (%),13.79 / 3.52,France
fcm-36,Moving camo (%),10.37 / 2.65,France
fcm-36,View range (m),280,France
fcm-36,Radio range (m),290,France
fcm-36,Fire chance,15%,France
fcm-36,Tank cost,"3,900",France
somua-s35,DPM,"1,162.40",France
somua-s35,Damage,55,France
somua-s35,Penetration (mm),66,France
somua-s35,… at 500m (mm),58,France
somua-s35,Reload time (sec),2.84,France
somua-s35,Rate of fire (rnds/min),21.13,France
somua-s35,Aim time (sec),1.70,France
somua-s35,Dispersion,0.38,France
somua-s35,… damaged,0.76,France
somua-s35,Dispersion factors,,France
somua-s35,… moving (+),0.23,France
somua-s35,… tank traverse (+),0.23,France
somua-s35,… turret traverse (+),0.10,France
somua-s35,… after firing (+),4,France
somua-s35,… damaged (×),2,France
somua-s35,Damage vs. modules,64,France
somua-s35,Caliber (mm),47,France
somua-s35,Shell velocity (m/s),885,France
somua-s35,Max range (m),720,France
somua-s35,Ammo capacity,120,France
somua-s35,Potential damage,"6,600",France
somua-s35,Shell cost,20,France
somua-s35,Top speed (km/h),45,France
somua-s35,Reverse speed (km/h),12,France
somua-s35,Power (hp),243.17 230,France
somua-s35,Power/weight (hp/t),11.98,France
somua-s35,Tank traverse (°/sec),39.63,France
somua-s35,Effective top speed,,France
somua-s35,… hard (km/h),38.01,France
somua-s35,… medium (km/h),32.58,France
somua-s35,… soft (km/h),19.01,France
somua-s35,Effective traverse,,France
somua-s35,… hard (°/sec),46.71,France
somua-s35,… medium (°/sec),40.04,France
somua-s35,… soft (°/sec),23.36,France
somua-s35,Terrain resistance,,France
somua-s35,… hard (rad⁻¹),1.15,France
somua-s35,… medium (rad⁻¹),1.34,France
somua-s35,… soft (rad⁻¹),2.30,France
somua-s35,Gun elevation (°),25,France
somua-s35,Gun depression (°),11,France
somua-s35,Gun traverse (°/sec),39.38,France
somua-s35,Gun traverse range (°),-180 / 180,France
somua-s35,Turret traverse (°/sec),42,France
somua-s35,Hull armor (mm),47 / 40 / 35,France
somua-s35,Turret armor (mm),40 / 40 / 60,France
somua-s35,Track armor (mm),15,France
somua-s35,Health,445,France
somua-s35,Engine health,160,France
somua-s35,Track health,80,France
somua-s35,… repaired,50,France
somua-s35,… repair time (sec),10.03,France
somua-s35,Ammo rack health,100,France
somua-s35,Fuel tank health,125,France
somua-s35,Max load (kg),"23,500",France
somua-s35,Total weight (kg),"20,290",France
somua-s35,Stationary camo (%),14.90 / 4.32,France
somua-s35,Moving camo (%),11.20 / 3.25,France
somua-s35,View range (m),330,France
somua-s35,Radio range (m),740.53,France
somua-s35,Fire chance,20%,France
somua-s35,Tank cost,"42,000",France
amx-38,DPM,"1,031.25",France
amx-38,Damage,55,France
amx-38,Penetration (mm),45,France
amx-38,… at 500m (mm),38,France
amx-38,Reload time (sec),3.20,France
amx-38,Rate of fire (rnds/min),18.75,France
amx-38,Aim time (sec),2.50,France
amx-38,Dispersion,0.47,France
amx-38,… damaged,0.94,France
amx-38,Dispersion factors,,France
amx-38,… moving (+),0.36,France
amx-38,… tank traverse (+),0.36,France
amx-38,… turret traverse (+),0.20,France
amx-38,… after firing (+),4,France
amx-38,… damaged (×),2,France
amx-38,Damage vs. modules,64,France
amx-38,Caliber (mm),47,France
amx-38,Shell velocity (m/s),660,France
amx-38,Max range (m),720,France
amx-38,Ammo capacity,210,France
amx-38,Potential damage,"11,550",France
amx-38,Shell cost,20,France
amx-38,Top speed (km/h),25,France
amx-38,Reverse speed (km/h),10,France
amx-38,Power (hp),169.16 160,France
amx-38,Power/weight (hp/t),10.54,France
amx-38,Tank traverse (°/sec),33.38,France
amx-38,Effective top speed,,France
amx-38,… hard (km/h),25,France
amx-38,… medium (km/h),25,France
amx-38,… soft (km/h),16.05,France
amx-38,Effective traverse,,France
amx-38,… hard (°/sec),35.40,France
amx-38,… medium (°/sec),32.87,France
amx-38,… soft (°/sec),18.41,France
amx-38,Terrain resistance,,France
amx-38,… hard (rad⁻¹),1.25,France
amx-38,… medium (rad⁻¹),1.34,France
amx-38,… soft (rad⁻¹),2.40,France
amx-38,Gun elevation (°),20,France
amx-38,Gun depression (°),6,France
amx-38,Gun traverse (°/sec),39.38,France
amx-38,Gun traverse range (°),-180 / 180,France
amx-38,Turret traverse (°/sec),28,France
amx-38,Hull armor (mm),60 / 40 / 40,France
amx-38,Turret armor (mm),60 / 40 / 40,France
amx-38,Track armor (mm),10,France
amx-38,Health,390,France
amx-38,Engine health,50,France
amx-38,Track health,80,France
amx-38,… repaired,50,France
amx-38,… repair time (sec),12.03,France
amx-38,Ammo rack health,100,France
amx-38,Fuel tank health,125,France
amx-38,Max load (kg),"18,000",France
amx-38,Total weight (kg),"16,050",France
amx-38,Stationary camo (%),15.96 / 4.63,France
amx-38,Moving camo (%),11.97 / 3.47,France
amx-38,View range (m),310,France
amx-38,Radio range (m),360,France
amx-38,Fire chance,15%,France
amx-38,Tank cost,"41,000",France
sau-40,DPM,"3,018.56",France
sau-40,Damage,410,France
sau-40,Penetration (mm),53,France
sau-40,Reload time (sec),8.15,France
sau-40,Rate of fire (rnds/min),7.36,France
sau-40,Aim time (sec),2.21,France
sau-40,Dispersion,0.51,France
sau-40,… damaged,1.02,France
sau-40,Dispersion factors,,France
sau-40,… moving (+),0.24,France
sau-40,… tank traverse (+),0.24,France
sau-40,… turret traverse (+),0.08,France
sau-40,… after firing (+),4,France
sau-40,… damaged (×),2,France
sau-40,Damage vs. modules,150,France
sau-40,Explosion radius (m),1.91,France
sau-40,Caliber (mm),105,France
sau-40,Shell velocity (m/s),670,France
sau-40,Max range (m),720,France
sau-40,Ammo capacity,45,France
sau-40,Potential damage,"18,450",France
sau-40,Shell cost,128,France
sau-40,Top speed (km/h),37,France
sau-40,Reverse speed (km/h),12,France
sau-40,Power (hp),274.89 260,France
sau-40,Power/weight (hp/t),11.08,France
sau-40,Tank traverse (°/sec),31.29,France
sau-40,Effective top speed,,France
sau-40,… hard (km/h),32.42,France
sau-40,… medium (km/h),28.10,France
sau-40,… soft (km/h),16.86,France
sau-40,Effective traverse,,France
sau-40,… hard (°/sec),34.10,France
sau-40,… medium (°/sec),29.55,France
sau-40,… soft (°/sec),17.73,France
sau-40,Terrain resistance,,France
sau-40,… hard (rad⁻¹),1.25,France
sau-40,… medium (rad⁻¹),1.44,France
sau-40,… soft (rad⁻¹),2.40,France
sau-40,Gun elevation (°),30,France
sau-40,Gun depression (°),10,France
sau-40,Gun traverse (°/sec),30.63,France
sau-40,Gun traverse range (°),-7 / 8,France
sau-40,Turret traverse (°/sec),45.89,France
sau-40,Hull armor (mm),36 / 35 / 35,France
sau-40,Turret armor (mm),0 / 0 / 0,France
sau-40,Track armor (mm),15,France
sau-40,Health,430,France
sau-40,Engine health,80,France
sau-40,Track health,80,France
sau-40,… repaired,50,France
sau-40,… repair time (sec),10.03,France
sau-40,Ammo rack health,125,France
sau-40,Fuel tank health,150,France
sau-40,Max load (kg),"26,000",France
sau-40,Total weight (kg),"24,820",France
sau-40,Stationary camo (%),16.07 / 3.54,France
sau-40,Moving camo (%),9.63 / 2.12,France
sau-40,View range (m),330,France
sau-40,Radio range (m),474.56,France
sau-40,Fire chance,20%,France
sau-40,Tank cost,"110,000",France
b1,DPM,"1,605.21",France
b1,Damage,55,France
b1,Penetration (mm),66,France
b1,… at 500m (mm),58,France
b1,Reload time (sec),2.06,France
b1,Rate of fire (rnds/min),29.19,France
b1,Aim time (sec),1.47,France
b1,Dispersion,0.38,France
b1,… damaged,0.76,France
b1,Dispersion factors,,France
b1,… moving (+),0.20,France
b1,… tank traverse (+),0.20,France
b1,… turret traverse (+),0.08,France
b1,… after firing (+),3,France
b1,… damaged (×),2,France
b1,Damage vs. modules,64,France
b1,Caliber (mm),47,France
b1,Shell velocity (m/s),885,France
b1,Max range (m),720,France
b1,Ammo capacity,195,France
b1,Potential damage,"10,725",France
b1,Shell cost,20,France
b1,Top speed (km/h),30,France
b1,Reverse speed (km/h),10,France
b1,Power (hp),370.05 350,France
b1,Power/weight (hp/t),12.51,France
b1,Tank traverse (°/sec),29.20,France
b1,Effective top speed,,France
b1,… hard (km/h),30,France
b1,… medium (km/h),30,France
b1,… soft (km/h),21.63,France
b1,Effective traverse,,France
b1,… hard (°/sec),56.09,France
b1,… medium (°/sec),47.46,France
b1,… soft (°/sec),28.05,France
b1,Terrain resistance,,France
b1,… hard (rad⁻¹),1.05,France
b1,… medium (rad⁻¹),1.25,France
b1,… soft (rad⁻¹),2.11,France
b1,Gun elevation (°),18,France
b1,Gun depression (°),13,France
b1,Gun traverse (°/sec),39.38,France
b1,Gun traverse range (°),-180 / 180,France
b1,Turret traverse (°/sec),30.65,France
b1,Hull armor (mm),60 / 60 / 55,France
b1,Turret armor (mm),46 / 46 / 46,France
b1,Track armor (mm),20,France
b1,Health,660,France
b1,Engine health,95,France
b1,Track health,130,France
b1,… repaired,50,France
b1,… repair time (sec),12.03,France
b1,Ammo rack health,140,France
b1,Fuel tank health,125,France
b1,Max load (kg),"39,300",France
b1,Total weight (kg),"29,590",France
b1,Stationary camo (%),7.46 / 2.16,France
b1,Moving camo (%),3.71 / 1.07,France
b1,View range (m),330,France
b1,Radio range (m),740.53,France
b1,Fire chance,20%,France
b1,Tank cost,"185,000",France
amx-40,DPM,"1,110.29",France
amx-40,Damage,110,France
amx-40,Penetration (mm),74,France
amx-40,… at 500m (mm),64,France
amx-40,Reload time (sec),5.94,France
amx-40,Rate of fire (rnds/min),10.09,France
amx-40,Aim time (sec),2.40,France
amx-40,Dispersion,0.44,France
amx-40,… damaged,0.88,France
amx-40,Dispersion factors,,France
amx-40,… moving (+),0.30,France
amx-40,… tank traverse (+),0.30,France
amx-40,… turret traverse (+),0.20,France
amx-40,… after firing (+),4,France
amx-40,… damaged (×),2,France
amx-40,Damage vs. modules,100,France
amx-40,Caliber (mm),75,France
amx-40,Shell velocity (m/s),600,France
amx-40,Max range (m),720,France
amx-40,Ammo capacity,105,France
amx-40,Potential damage,"11,550",France
amx-40,Shell cost,46,France
amx-40,Top speed (km/h),50,France
amx-40,Reverse speed (km/h),20,France
amx-40,Power (hp),200.88 190,France
amx-40,Power/weight (hp/t),9.19,France
amx-40,Tank traverse (°/sec),31.29,France
amx-40,Effective top speed,,France
amx-40,… hard (km/h),24.98,France
amx-40,… medium (km/h),23.32,France
amx-40,… soft (km/h),13.99,France
amx-40,Effective traverse,,France
amx-40,… hard (°/sec),36.59,France
amx-40,… medium (°/sec),34.15,France
amx-40,… soft (°/sec),20.49,France
amx-40,Terrain resistance,,France
amx-40,… hard (rad⁻¹),1.34,France
amx-40,… medium (rad⁻¹),1.44,France
amx-40,… soft (rad⁻¹),2.40,France
amx-40,Gun elevation (°),17,France
amx-40,Gun depression (°),7,France
amx-40,Gun traverse (°/sec),35,France
amx-40,Gun traverse range (°),-180 / 180,France
amx-40,Turret traverse (°/sec),27.12,France
amx-40,Hull armor (mm),70 / 65 / 40,France
amx-40,Turret armor (mm),80 / 60 / 60,France
amx-40,Track armor (mm),10,France
amx-40,Health,400,France
amx-40,Engine health,50,France
amx-40,Track health,80,France
amx-40,… repaired,50,France
amx-40,… repair time (sec),12.03,France
amx-40,Ammo rack health,125,France
amx-40,Fuel tank health,125,France
amx-40,Max load (kg),"25,230",France
amx-40,Total weight (kg),"21,860",France
amx-40,Stationary camo (%),13.19 / 3.43,France
amx-40,Moving camo (%),9.89 / 2.57,France
amx-40,View range (m),340,France
amx-40,Radio range (m),360,France
amx-40,Fire chance,20%,France
amx-40,Tank cost,"147,500",France
amx-13-am,DPM,"1,989.15",France
amx-13-am,Damage,445,France
amx-13-am,Penetration (mm),30,France
amx-13-am,Reload time (sec),13.42,France
amx-13-am,Rate of fire (rnds/min),4.47,France
amx-13-am,Aim time (sec),4.79,France
amx-13-am,Dispersion,0.66,France
amx-13-am,… damaged,1.32,France
amx-13-am,Dispersion factors,,France
amx-13-am,… moving (+),0.34,France
amx-13-am,… tank traverse (+),0.34,France
amx-13-am,… turret traverse (+),0.40,France
amx-13-am,… after firing (+),6,France
